u_precision,u_recall,u_rmse,n_t,n_p,model,structure,level
0.9565217391304348,0.7586206896551724,0.5222329678670935,29,23,restormer,mos2-A_Adatom-Li.png,12
0.967741935483871,0.90625,0.7319250547113999,32,31,restormer,mos2-A_Adatom-Li.png,16
0.9166666666666666,0.7333333333333333,0.674199862463242,30,24,restormer,mos2-A_Adatom-Li.png,20
0.6111111111111112,0.631578947368421,0.4264014327112209,19,18,restormer,mos2-A_Adatom-Li.png,28
0.9090909090909091,0.8947368421052632,0.8744746321952062,19,22,restormer,mos2-A_Adatom-Li.png,36
1.0,1.0,0.6073977599851282,103,103,restormer,mose2-A_Doped-Na.png,1
1.0,1.0,0.5940885257860046,102,102,restormer,mose2-A_Doped-Na.png,2
1.0,0.99,0.3333333333333333,100,99,restormer,mose2-A_Doped-Na.png,4
1.0,1.0,0.621581560508061,89,88,restormer,mose2-A_Doped-Na.png,8
0.989010989010989,0.989010989010989,0.5477225575051661,91,91,restormer,mose2-A_Doped-Na.png,12
0.9578947368421052,0.989010989010989,0.3496029493900505,91,95,restormer,mose2-A_Doped-Na.png,16
0.9175257731958762,0.978021978021978,0.5507910552258941,91,97,restormer,mose2-A_Doped-Na.png,20
0.75,1.0,0.7453559924999299,9,12,restormer,mose2-A_Doped-Na.png,28
0.9753086419753086,0.9875,0.42096934552698456,80,81,restormer,mose2-A_Doped-Na.png,36
0.9733333333333334,0.9861111111111112,0.3380617018914066,72,75,restormer,mote2-A_Anti-2M.png,1
0.972972972972973,1.0,0.3232299675777271,73,74,restormer,mote2-A_Anti-2M.png,2
0.9512195121951219,1.0,0.3223291856101521,83,82,restormer,mote2-A_Anti-2M.png,4
0.972972972972973,1.0,0.6871842709362768,74,74,restormer,mote2-A_Anti-2M.png,8
0.9137931034482759,1.0,0.14002800840280097,51,58,restormer,mote2-A_Anti-2M.png,12
0.921875,1.0,0.7135060680126758,56,64,restormer,mote2-A_Anti-2M.png,16
0.9253731343283582,0.9838709677419355,0.8563488385776752,62,67,restormer,mote2-A_Anti-2M.png,20
0.9659090909090909,1.0,0.39816652969059774,87,88,restormer,mote2-A_Anti-2M.png,28
0.9868421052631579,1.0,0.32659863237109044,78,76,restormer,mote2-A_Anti-2M.png,36
1.0,1.0,0.23145502494313785,112,112,restormer,tate2-A_Fe_doped.png,1
1.0,1.0,0.24356115022372735,118,118,restormer,tate2-A_Fe_doped.png,2
0.9642857142857143,1.0,0.3849001794597505,108,112,restormer,tate2-A_Fe_doped.png,4
1.0,1.0,0.42919753763947605,76,76,restormer,tate2-A_Fe_doped.png,8
1.0,1.0,0.44048819592160315,67,67,restormer,tate2-A_Fe_doped.png,12
0.9888888888888889,1.0,0.7716901048850685,89,90,restormer,tate2-A_Fe_doped.png,16
1.0,1.0,0.45643546458763845,99,96,restormer,tate2-A_Fe_doped.png,20
0.96,1.0,0.3992747047523452,69,75,restormer,tate2-A_Fe_doped.png,28
1.0,0.984375,0.47907013758040845,64,61,restormer,tate2-A_Fe_doped.png,36
1.0,0.85,0.28005601680560194,60,52,restormer,vse2-A_Vacancy-Anion-06A.png,1
1.0,0.7111111111111111,0.39528470752104744,45,32,restormer,vse2-A_Vacancy-Anion-06A.png,2
0.9743589743589743,0.8809523809523809,0.2847473987257497,42,39,restormer,vse2-A_Vacancy-Anion-06A.png,4
1.0,0.8333333333333334,0.2041241452319315,30,25,restormer,vse2-A_Vacancy-Anion-06A.png,8
0.918918918918919,0.8,0.29704426289300234,45,37,restormer,vse2-A_Vacancy-Anion-06A.png,12
0.8055555555555556,1.0,0.0,29,36,restormer,vse2-A_Vacancy-Anion-06A.png,16
0.9523809523809523,0.975609756097561,0.3535533905932738,41,42,restormer,vse2-A_Vacancy-Anion-06A.png,20
0.8333333333333334,0.7894736842105263,0.3651483716701107,19,18,restormer,vse2-A_Vacancy-Anion-06A.png,28
0.9130434782608695,0.6774193548387096,0.3086066999241838,31,23,restormer,vse2-A_Vacancy-Anion-06A.png,36
0.9444444444444444,1.0,0.24253562503633297,17,18,restormer,tas2-A_Doped-Li.png,1
0.8974358974358975,1.0,0.24253562503633297,34,39,restormer,tas2-A_Doped-Li.png,2
