structure,op,level,family,h,w,mean,std,min,max,frac_sat
ws2-B_Vacancy-Anion-06B.png,B,20,ws2,637,552,49.30843734741211,46.89698791503906,0.0,255.0,2.8439469433258253e-06
ws2-B_Vacancy-Metal.png,B,20,ws2,637,552,43.7554931640625,44.971920013427734,0.0,255.0,2.8439469433258253e-06
ws2-C_Anti-Anion.png,B,20,ws2-C,642,556,45.03218460083008,45.31584167480469,0.0,255.0,8.404491360182881e-06
ws2-C_Anti-Metal.png,B,20,ws2-C,642,556,56.7431526184082,48.76144790649414,0.0,255.0,2.8014971200609605e-06
ws2-C_Cr_doped.png,B,20,ws2-C,642,556,52.273963928222656,46.70219802856445,0.0,255.0,2.8014971200609605e-06
ws2-C_Defect-Free.png,B,20,ws2-C,642,556,15.094158172607422,23.96314239501953,0.0,255.0,2.8014971200609605e-06
ws2-C_Mo_doped.png,B,20,ws2-C,642,556,48.428375244140625,46.24721145629883,0.0,255.0,2.8014971200609605e-06
ws2-C_O_doped.png,B,20,ws2-C,642,556,52.79912185668945,47.61804962158203,0.0,255.0,2.8014971200609605e-06
ws2-C_Re_doped.png,B,20,ws2-C,642,556,58.95426940917969,47.27543640136719,0.0,255.0,2.8014971200609605e-06
ws2-C_V48_V38.png,B,20,ws2-C,642,556,33.3891716003418,45.20244598388672,0.0,255.0,2.8014971200609605e-06
ws2-C_V48_V44.png,B,20,ws2-C,642,556,53.6441535949707,45.65043640136719,0.0,255.0,2.8014971200609605e-06
ws2-C_Vacancy-Anion.png,B,20,ws2-C,642,556,31.45745086669922,29.220409393310547,0.0,255.0,2.8014971200609605e-06
ws2-C_Vacancy-Metal.png,B,20,ws2-C,642,556,43.187744140625,44.63344192504883,0.0,255.0,2.8014971200609605e-06
wse2_Anti-Anion.png,B,20,wse2,658,570,66.3678207397461,43.17985534667969,0.0,255.0,2.6662400682557456e-06
wse2_Anti-Metal.png,B,20,wse2,658,570,47.496517181396484,29.157135009765625,0.0,255.0,5.332480136511491e-06
wse2_Cr_doped.png,B,20,wse2,658,570,69.17652130126953,43.257171630859375,0.0,255.0,2.6662400682557456e-06
wse2_Defect-Free.png,B,20,wse2,658,570,62.173038482666016,38.510658264160156,0.0,255.0,5.332480136511491e-06
wse2_Doped-O.png,B,20,wse2,658,570,54.056312561035156,34.641334533691406,0.0,255.0,5.332480136511491e-06
wse2_Mo_doped.png,B,20,wse2,658,570,66.4952621459961,42.88801193237305,0.0,255.0,2.6662400682557456e-06
wse2_Re_doped.png,B,20,wse2,658,570,55.969139099121094,47.1882438659668,0.0,255.0,2.6662400682557456e-06
wse2_Vacancy-Anion-03.png,B,20,wse2,658,570,63.630863189697266,42.211883544921875,0.0,255.0,2.6662400682557456e-06
wse2_Vacancy-Anion-06A.png,B,20,wse2,658,570,55.53817367553711,38.321083068847656,0.0,255.0,5.332480136511491e-06
wse2_Vacancy-Anion-06B.png,B,20,wse2,658,570,65.34226989746094,44.41073989868164,0.0,255.0,7.998720204767237e-06
wse2_Vacancy-Metal.png,B,20,wse2,658,570,54.163719177246094,44.41897964477539,0.0,255.0,7.998720204767237e-06
wte2_Anti-Anion.png,B,20,wte2,710,615,61.54230499267578,43.841339111328125,0.0,255.0,4.580327493415779e-06
wte2_Anti-Metal.png,B,20,wte2,710,615,43.66735076904297,39.24140167236328,0.0,255.0,4.580327493415779e-06
wte2_Cr_doped.png,B,20,wte2,710,615,45.52224349975586,37.64665985107422,0.0,255.0,2.2901637467078897e-06
wte2_Defect-Free.png,B,20,wte2,710,615,58.54153060913086,46.40410232543945,0.0,255.0,2.2901637467078897e-06
wte2_Doped-O.png,B,20,wte2,710,615,47.812278747558594,47.640594482421875,0.0,255.0,2.2901637467078897e-06
wte2_Mo_doped.png,B,20,wte2,710,615,47.933589935302734,47.27576446533203,0.0,255.0,6.870491240123669e-06
wte2_Re_doped.png,B,20,wte2,710,615,59.97924041748047,47.552120208740234,0.0,255.0,2.2901637467078897e-06
wte2_Vacancy-Anion-03.png,B,20,wte2,710,615,36.562984466552734,47.57115173339844,0.0,255.0,2.2901637467078897e-06
wte2_Vacancy-Anion-06A.png,B,20,wte2,710,615,46.985843658447266,43.623355865478516,0.0,255.0,6.870491240123669e-06
wte2_Vacancy-Anion-06B.png,B,20,wte2,710,615,43.47100067138672,39.72889709472656,0.0,255.0,2.2901637467078897e-06
wte2_Vacancy-Metal.png,B,20,wte2,710,615,56.81825637817383,42.96326446533203,0.0,255.0,2.2901637467078897e-06
zro2_Defect-Free.png,B,20,zro2,627,543,43.84870147705078,34.379539489746094,0.0,255.0,2.937193981102094e-06
zro2_Vacancy-Anion-03.png,B,20,zro2,627,543,44.86517333984375,45.208229064941406,0.0,255.0,5.874387962204188e-06
zro2_Vacancy-Metal.png,B,20,zro2,627,543,55.93196105957031,47.562992095947266,0.0,255.0,5.874387962204188e-06
zrs2_Cr_doped.png,B,20,zrs2,714,619,59.9692268371582,45.31669235229492,0.0,255.0,6.787852459238946e-06
zrs2_Cu_doped.png,B,20,zrs2,714,619,42.99812316894531,44.34321212768555,0.0,255.0,2.262617486412982e-06
zrs2_Defect-Free.png,B,20,zrs2,714,619,54.56986999511719,44.96524429321289,0.0,255.0,2.262617486412982e-06
zrs2_Ni_doped.png,B,20,zrs2,714,619,57.149906158447266,43.98670196533203,0.0,255.0,2.262617486412982e-06
zrs2_Vacancy-Anion-03.png,B,20,zrs2,714,619,45.76139450073242,41.379634857177734,0.0,255.0,2.262617486412982e-06
zrs2_Vacancy-Metal.png,B,20,zrs2,714,619,45.77334976196289,45.81454849243164,0.0,255.0,2.262617486412982e-06
zrse2_Defect-Free.png,B,20,zrse2,759,657,71.01348114013672,50.71956253051758,0.0,255.0,2.0053623388942032e-06
zrse2_Vacancy-Anion-03.png,B,20,zrse2,759,657,63.14899826049805,44.97977828979492,0.0,255.0,2.0053623388942032e-06
zrse2_Vacancy-Metal.png,B,20,zrse2,759,657,81.49415588378906,46.16632843017578,0.0,255.0,2.0053623388942032e-06
zrte2_Cr_doped.png,B,20,zrte2,784,679,43.182655334472656,44.78221130371094,0.0,255.0,7.514051275885907e-06
cose2_Defect-Free.png,B,28,cose2,674,584,36.042327880859375,42.31867218017578,0.0,255.0,2.540547132230397e-06
cose2_Fe_adatom.png,B,28,cose2,674,584,51.32136535644531,42.81532669067383,0.0,255.0,1.0162188528921589e-05
cose2_Fe_doped.png,B,28,cose2,674,584,44.23271560668945,45.71201705932617,0.0,255.0,5.081094264460794e-06
cose2_Ni_adatom.png,B,28,cose2,674,584,46.18484878540039,41.259944915771484,0.0,255.0,2.540547132230397e-06
cose2_Ni_doped.png,B,28,cose2,674,584,46.91305160522461,45.60201644897461,0.0,255.0,2.540547132230397e-06
